first_time_homebuyer_flag,borrowers_num,orig_UPB,orig_interest_rate,program_ind,zero_balance_effective_date,loan_purpose,LTV,units_numb,id_loan,maturity_date,occupancy_status,period,DTI_ratio,orig_loan_term,channel,Unnamed: 0,first_payment_date,cens,CLTV,MI_%,property_state,zero_balance_code,postal_code,MI_cancel_flag,int_only_flag,PPM_flag,property_type,property_val_method,time,amortization_type,service_name,seller_name
Y,1,114000,7.0,9,,P,80,1,F99Q10006603,202902,P,2017-12-01,25,360,R,4806,199903,False,80,0,MA,-1.0,1600,9,N,N,SF,9,228,FRM,"BANK OF AMERICA, N.A.",Other sellers
N,2,73000,7.125,9,,N,57,1,F99Q10006624,202902,P,2017-12-01,43,360,R,4828,199903,False,57,0,OH,-1.0,45300,9,N,N,SF,9,228,FRM,"BANK OF AMERICA, N.A.",Other sellers
N,2,59000,6.75,9,,P,80,1,F99Q10006794,201903,P,2017-12-01,20,240,R,4995,199904,False,80,0,KY,-1.0,41100,9,N,N,SF,9,227,FRM,Other servicers,FIFTH THIRD BANK
N,2,55000,7.0,9,,C,42,1,F99Q10006921,202902,P,2017-12-01,18,360,R,5121,199903,False,42,0,MI,-1.0,49400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,50000,7.25,9,201709.0,N,63,1,F99Q10006956,202902,P,2017-09-01,23,360,R,5157,199903,True,63,0,OH,1.0,45600,9,N,N,SF,9,225,FRM,Other servicers,Other sellers
N,2,81000,7.0,9,,N,90,1,F99Q10007044,202902,P,2017-12-01,33,360,R,5244,199903,False,90,30,IN,-1.0,46400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,227000,6.75,9,,P,58,1,F99Q10007217,202902,P,2017-12-01,21,360,R,5414,199903,False,58,0,MA,-1.0,2000,9,N,N,SF,9,228,FRM,"BANK OF AMERICA, N.A.",Other sellers
N,2,70000,7.125,9,,C,80,1,F99Q10007283,202902,P,2017-12-01,13,360,R,5481,199903,False,80,0,IN,-1.0,47200,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,52000,7.25,9,,C,75,1,F99Q10007390,202902,P,2017-12-01,24,360,R,5588,199903,False,75,0,IN,-1.0,46900,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,101000,7.0,9,,C,71,1,F99Q10007497,202903,P,2017-12-01,36,360,R,5693,199904,False,71,0,IL,-1.0,60900,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,79000,6.875,9,201711.0,N,90,1,F99Q10007555,202902,P,2017-11-01,43,360,R,5750,199903,True,90,25,IL,1.0,60000,9,N,N,CO,9,227,FRM,Other servicers,Other sellers
N,2,114000,7.0,9,,C,55,1,F99Q10007882,202902,P,2017-12-01,35,360,R,6074,199903,False,55,0,WI,-1.0,53500,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,83000,7.75,9,,C,73,1,F99Q10008094,202902,P,2017-12-01,16,360,R,6285,199903,False,73,0,MI,-1.0,49900,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,128000,6.875,9,201707.0,C,75,1,F99Q10008165,202902,P,2017-07-01,29,360,T,6356,199903,True,75,0,VA,1.0,22000,9,N,N,SF,9,223,FRM,Other servicers,Other sellers
N,2,95000,6.75,9,,C,55,1,F99Q10008194,202903,P,2017-12-01,31,360,R,6386,199904,False,55,0,MN,-1.0,55000,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,71000,7.375,9,,N,51,1,F99Q10008538,202902,P,2017-12-01,21,360,R,6724,199903,False,51,0,OH,-1.0,45200,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,26000,7.0,9,,P,95,1,F99Q10008574,202902,P,2017-12-01,25,360,R,6760,199903,False,95,30,IN,-1.0,47700,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,80000,7.0,9,,P,77,1,F99Q10008702,202903,P,2017-12-01,49,360,T,6886,199904,False,77,0,OR,-1.0,97900,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
Y,1,68000,7.25,9,,P,95,1,F99Q10008710,202903,P,2017-12-01,26,360,T,6895,199904,False,95,30,MO,-1.0,63000,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,48000,7.625,9,,P,90,2,F99Q10008770,202902,P,2017-12-01,46,360,R,6956,199903,False,90,25,OH,-1.0,44100,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,21000,7.25,9,,N,61,1,F99Q10008979,202902,P,2017-12-01,28,360,R,7163,199903,False,61,0,MI,-1.0,48800,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,56000,7.0,9,,P,63,1,F99Q10008982,201901,P,2017-12-01,25,240,T,7167,199902,False,63,0,MI,-1.0,49800,9,N,N,SF,9,229,FRM,Other servicers,Other sellers
N,1,44000,6.999,9,201707.0,C,49,1,F99Q10009338,202902,P,2017-07-01,25,360,R,7521,199903,True,49,0,IL,1.0,60400,9,N,N,SF,9,223,FRM,Other servicers,Other sellers
N,2,124000,6.9,9,,N,83,1,F99Q10009390,202902,P,2017-12-01,23,360,R,7574,199903,False,83,12,IL,-1.0,61200,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,150000,6.875,9,,C,80,1,F99Q10009404,202904,P,2017-12-01,37,360,T,7589,199905,False,80,0,UT,-1.0,84700,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,2,85000,6.75,9,,N,82,1,F99Q10009407,202903,P,2017-12-01,34,360,T,7593,199904,False,82,12,FL,-1.0,34700,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,59000,6.75,9,,P,95,1,F99Q10009415,202902,P,2017-12-01,28,360,T,7602,199903,False,95,30,PA,-1.0,15400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
